jmeno;kurz;monday 13:00;monday 14:00;monday 15:00;monday 16:00;monday 17:00;tuesday 13:00;tuesday 14:00;tuesday 15:00;tuesday 16:00;tuesday 17:00;wednesday 13:00;wednesday 14:00;wednesday 15:00;wednesday 16:00;wednesday 17:00;thursday 13:00;thursday 14:00;thursday 15:00;thursday 16:00;thursday 17:00;friday 13:00;friday 14:00;friday 15:00;friday 16:00;friday 17:00
Student 1;cae;ano;ano;ano;ano;ano;;;;;;;;;;;;;;;;ano;ano;ano;ano;ano
Student 2;cae;ano;ano;ano;ano;ano;;;;;;ano;ano;ano;ano;ano;ano;ano;ano;ano;ano;ano;ano;ano;ano;ano
Student 3;cae;ano;ano;;;;;;;;;;;;;;;;;;;;;;;
Student 4;cae;ano;ano;;;;;;;;;;ano;ano;;;;;;;;;;;;
Student 5;cae;ano;ano;ano;ano;ano;;;;;;;;;;;;;;;;;;;;
Student 6;fce;;;;;;ano;ano;ano;ano;ano;;;;;;;;;;;;;;;
Student 7;fce;;;;;;ano;ano;ano;ano;ano;ano;ano;ano;;;ano;ano;ano;;;ano;ano;ano;ano;ano
Student 8;fce;;;;;;ano;ano;;;;;;;;;;;;;;ano;ano;ano;ano;ano
Student 9;fce;;;;;;ano;ano;;;;ano;;;ano;ano;ano;;;ano;ano;ano;ano;;;ano
Student 10;fce;ano;ano;ano;;;ano;ano;ano;ano;ano;;;;;;;;;;;;;ano;ano;ano
Student 11;fce;;;;;;;;;;;ano;;ano;ano;ano;ano;;ano;ano;ano;;;ano;ano;ano
Student 12;pet;ano;;;ano;ano;ano;ano;ano;;;;;;;;ano;ano;ano;ano;ano;;;;;
Student 13;pet;;;;;;;;;;;ano;ano;ano;ano;ano;ano;ano;ano;ano;ano;;;;;
Student 14;pet;ano;;ano;ano;ano;ano;;;ano;ano;;;;;;ano;ano;;;ano;ano;ano;;;ano
Student 15;pet;ano;ano;ano;ano;ano;;;;;;;;;;;ano;ano;;;;ano;ano;;;
Student 16;pet;ano;ano;;;;ano;;ano;ano;;;;;;;;;;;;;;;;
Student 17;pet;ano;ano;;;;;;;;;;;;;;ano;ano;ano;ano;ano;ano;ano;ano;ano;ano
Student 18;key;ano;ano;;;;ano;ano;ano;ano;;ano;ano;ano;;;;;;;;;;;;
Student 19;key;ano;ano;ano;ano;ano;;;;;;;;;;;;;;;;;;;;
Student 20;key;;;;;;;;;;;ano;;;ano;ano;;;;;;;;;;
Student 21;key;;;;;;ano;ano;ano;ano;ano;;;;;;;;;;;;;;;
Student 22;key;;;;;;;;;;;ano;;ano;ano;ano;ano;ano;ano;;;ano;ano;ano;;
Student 23;key;;;;;;ano;ano;ano;;;ano;ano;ano;ano;ano;;;;;;;;;;
Student 24;key;ano;ano;ano;;;;;;;;ano;ano;ano;ano;ano;ano;;;ano;ano;ano;;;ano;ano
Student 25;ie;;;;;;ano;;;ano;ano;ano;ano;;;ano;;;;;;ano;ano;;;
Student 26;ie;ano;;;ano;ano;;;;;;ano;ano;;;;ano;;ano;ano;ano;ano;ano;ano;;
Student 27;ie;;;;;;ano;;ano;ano;ano;ano;ano;ano;;;ano;ano;ano;ano;ano;;;;;
Student 28;ie;ano;;ano;ano;ano;ano;ano;ano;ano;ano;;;;;;ano;ano;ano;ano;ano;ano;;;ano;ano
Student 29;ie;ano;ano;ano;ano;ano;ano;ano;;;;ano;;;ano;ano;ano;ano;;;ano;;;;;
Student 30;ie;;;ano;ano;ano;ano;ano;;;;;;;;;ano;ano;ano;;;ano;;ano;ano;ano
Student 31;cae;ano;ano;;;;ano;ano;;;;ano;;ano;ano;ano;;;;;;ano;ano;ano;ano;ano
Student 32;cae;ano;ano;;;;ano;ano;ano;ano;ano;ano;ano;ano;ano;ano;ano;;;ano;ano;ano;ano;;;
Student 33;cae;ano;ano;ano;ano;ano;;;;;;ano;ano;;;;;;;;;ano;ano;;;
Student 34;cae;;;;;;;;;;;ano;ano;;;;ano;;ano;ano;ano;ano;ano;;;
Student 35;cae;;;;;;;;;;;ano;ano;;;;ano;ano;ano;ano;ano;ano;ano;ano;ano;ano
Student 36;fce;ano;ano;ano;ano;ano;;;;;;ano;ano;ano;ano;ano;;ano;ano;;;ano;ano;ano;;
Student 37;fce;ano;ano;ano;ano;ano;ano;ano;ano;;;;;;;;;ano;ano;ano;ano;;;;;
Student 38;fce;ano;ano;;;;;;;;;;;;;;ano;ano;;;;;;;;
Student 39;fce;;;;;;ano;;;ano;ano;;;;;;ano;ano;ano;ano;ano;ano;ano;ano;;
Student 40;fce;ano;ano;ano;ano;ano;;;;;;;;;;;;;;;;;;;;
Student 41;fce;;;;;;;;;;;ano;ano;ano;;;ano;ano;ano;;;ano;;;ano;ano
Student 42;pet;;;ano;ano;ano;;;;;;ano;ano;ano;ano;;;;;;;;;;;
Student 43;pet;;;;;;;;;;;ano;;;ano;ano;;;;;;ano;;ano;ano;ano
Student 44;pet;;;;;;;;;;;;;;;;ano;ano;ano;;;ano;ano;ano;ano;ano
Student 45;pet;ano;ano;ano;;;ano;ano;ano;ano;ano;ano;;ano;ano;ano;;;;;;;;;;
Student 46;pet;;;;;;;;;;;ano;ano;;;;ano;;;ano;ano;ano;;ano;ano;
Student 47;pet;ano;;;ano;ano;;;;;;ano;ano;;;;;;;;;;;;;
Student 48;key;;;;;;;;;;;ano;ano;ano;ano;ano;ano;;ano;ano;ano;ano;ano;ano;ano;
Student 49;key;ano;;ano;ano;ano;;;;;;;;;;;ano;ano;ano;ano;ano;;;;;
Student 50;key;ano;ano;ano;ano;ano;ano;ano;ano;ano;ano;;;;;;ano;ano;ano;ano;ano;;;;;
Student 51;key;ano;ano;ano;ano;ano;;;;;;;;;;;ano;ano;;;;ano;ano;ano;ano;ano
Student 52;key;ano;ano;;;;;;;;;;;;;;ano;ano;;;;;;;;
Student 53;key;ano;ano;;;;;;;;;ano;ano;ano;;;ano;ano;ano;ano;ano;ano;ano;ano;;
Student 54;key;ano;ano;ano;ano;ano;;;;;;ano;ano;ano;;;;;;;;;;;;
Student 55;ie;ano;ano;ano;ano;ano;ano;ano;ano;;;ano;;;ano;ano;ano;ano;ano;ano;ano;ano;ano;;;
Student 56;ie;ano;ano;ano;ano;ano;;;;;;;;ano;ano;;ano;ano;ano;ano;ano;;;;;
Student 57;ie;ano;ano;;;;ano;;;ano;ano;;;ano;ano;;ano;ano;;;;ano;ano;;;
Student 58;ie;ano;ano;;;;;;;;;;;;;;ano;ano;;;;ano;ano;ano;ano;ano
Student 59;ie;ano;ano;ano;ano;ano;ano;;ano;ano;ano;;;;;;ano;ano;ano;ano;ano;;;;;
Student 60;ie;ano;ano;ano;ano;ano;;;;;;;;ano;ano;;;;;;;;;;;
